,0
0,0.5
1,1.0
2,0.5
3,0.5
4,0.5
5,0.5
6,0.5
7,0.5
8,0.5
9,0.0
10,0.5
11,0.5
12,0.5
13,0.5
14,1.0
15,0.5
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,0.0
25,0.5
26,0.5
27,1.0
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,0.5
34,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,1.0
43,0.5
44,0.5
45,1.0
46,0.5
47,1.0
48,0.5
49,0.5
50,1.0
51,0.5
52,0.5
53,0.5
54,0.5
55,0.5
56,0.5
57,0.5
58,0.5
59,0.5
60,1.0
61,1.0
62,0.5
63,0.5
64,0.5
65,0.5
66,0.5
67,0.5
68,0.5
69,0.5
70,0.0
71,0.5
72,0.5
73,1.0
74,1.0
75,0.0
76,0.5
77,0.5
78,0.5
79,0.5
80,0.5
81,0.5
82,0.5
83,1.0
84,0.0
85,0.5
86,0.5
87,0.5
88,0.5
89,0.5
90,0.5
91,0.5
92,1.0
93,0.5
94,0.5
95,0.5
96,0.5
97,0.5
98,0.5
99,0.5
