average_neighbour_degree,betweenness_centrality,closeness_centrality,clustering,degree,degree_centrality,has_feedback_path,indegree,katz,load_centrality,outdegree,pagerank,xx_good_SN,xx_state_ff
1.2,0.005661875222630559,0.01249002284963065,0.0,7.0,0.008928571428571428,1.0,2.0,0.03586890640377429,0.00566160372194855,5.0,0.0011247154229019542,0.0,0.0
1.2,0.0061691289968520465,0.012596279811228435,0.0,7.0,0.008928571428571428,1.0,2.0,0.03586890640377429,0.006192251804936534,5.0,0.0011247154229019542,0.0,0.0
1.2,0.006899555572243039,0.012606029253806786,0.0,7.0,0.008928571428571428,1.0,2.0,0.03586890640377429,0.0069546257200198075,5.0,0.0011247154229019542,0.0,0.0
1.2,0.006290023847592845,0.012714277748570157,0.0,7.0,0.008928571428571428,1.0,2.0,0.03586890640377429,0.006270444001355332,5.0,0.0011247154229019542,0.0,0.0
1.0,0.006053239165801714,0.012724210778061226,0.0,8.0,0.010204081632653059,1.0,2.0,0.03586890640377429,0.005983128404618552,6.0,0.001103268659379022,0.0,0.0
1.0,0.006244686343794942,0.012784136417518344,0.0,8.0,0.010204081632653059,1.0,2.0,0.03586890640377429,0.006314630737352413,6.0,0.0011032686593790218,0.0,0.0
1.25,0.005622976520696238,0.012946732747152915,0.0,6.0,0.007653061224489796,1.0,2.0,0.03586890640377429,0.005658956590298954,4.0,0.0011605606463552757,0.0,0.0
1.25,0.010712059408693237,0.02015524247158146,0.06666666666666668,6.0,0.007653061224489796,1.0,2.0,0.035874896323084035,0.010861384783798576,4.0,0.0014393148840453722,0.0,0.0
1.2,0.0060474061910843575,0.02025420438224389,0.047619047619047616,7.0,0.008928571428571428,1.0,2.0,0.035874896323084035,0.006029758646753721,5.0,0.0013889211149261266,0.0,0.0
1.2,0.009564245025383509,0.020262495092183416,0.047619047619047616,7.0,0.008928571428571428,1.0,2.0,0.035874896323084035,0.009503202622044987,5.0,0.0013889211149261266,0.0,0.0
0.5,0.00028996272838637373,0.010728799178314655,0.0,4.0,0.005102040816326529,1.0,2.0,0.03588290368049464,0.00028996272838637373,2.0,0.002201196168947152,0.0,0.0
1.2,0.011374288936549477,0.020354142890708915,0.047619047619047616,7.0,0.008928571428571428,1.0,2.0,0.035874896323084035,0.011374826511064196,5.0,0.0013889211149261266,0.0,0.0
1.2,0.009886412074327456,0.02036251563562488,0.047619047619047616,7.0,0.008928571428571428,1.0,2.0,0.035874896323084035,0.009740731781218237,5.0,0.0013889211149261266,0.0,0.0
1.0,0.009068074179327014,0.020412897117609928,0.03571428571428571,8.0,0.010204081632653059,1.0,2.0,0.035874896323084035,0.008870538157791853,6.0,0.0013572667236091255,0.0,0.0
1.2,0.007331251466103683,0.02046352852840185,0.047619047619047616,7.0,0.008928571428571428,1.0,2.0,0.035874896323084035,0.007380610290093049,5.0,0.0013889211149261266,0.0,0.0
1.25,0.008909603109819123,0.020471991526138992,0.06666666666666668,6.0,0.007653061224489796,1.0,2.0,0.035874896323084035,0.008985586571793469,4.0,0.0014411131672194381,0.0,0.0
1.0,0.00014335236010112857,0.006789329905190423,0.0,4.0,0.005102040816326529,1.0,2.0,0.03587218756018022,0.00014335236010112857,2.0,0.0012510197697509506,0.0,0.0
1.0,0.00015964240102171138,0.006789329905190423,0.0,4.0,0.005102040816326529,1.0,2.0,0.03587218756018022,0.00015964240102171138,2.0,0.0012510197697509506,0.0,0.0
1.0,0.00017810444739837185,0.006789329905190423,0.0,4.0,0.005102040816326529,1.0,2.0,0.03587218756018022,0.000177968697057367,2.0,0.0012510197697509506,0.0,0.0
